Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,7.360000,-11.194000,0.000000,top
C2,100nF,C_0402_1005Metric,21.076000,-17.602000,0.000000,top
C3,100nF,C_0402_1005Metric,11.678000,-16.586000,90.000000,top
D1,SK6805-EC15,SK6805-EC15,10.362500,-9.950776,-90.000000,top
D2,SK6805-EC15,SK6805-EC15,13.081250,-8.381105,-90.000000,top
D3,SK6805-EC15,SK6805-EC15,15.800000,-6.811434,-90.000000,top
D4,SK6805-EC15,SK6805-EC15,18.925000,-8.615653,-90.000000,top
D5,SK6805-EC15,SK6805-EC15,21.768750,-10.257493,-90.000000,top
D6,SK6805-EC15,SK6805-EC15,22.675000,-13.119726,-90.000000,top
D7,SK6805-EC15,SK6805-EC15,23.206250,-15.819578,-90.000000,top
D8,SK6805-EC15,SK6805-EC15,21.237500,-19.549224,90.000000,top
D9,SK6805-EC15,SK6805-EC15,18.518750,-21.118895,90.000000,top
D10,SK6805-EC15,SK6805-EC15,15.800000,-22.688566,90.000000,top
D11,SK6805-EC15,SK6805-EC15,12.675000,-20.884347,90.000000,top
D12,SK6805-EC15,SK6805-EC15,9.831250,-19.242507,90.000000,top
D13,SK6805-EC15,SK6805-EC15,8.925000,-16.380274,90.000000,top
D14,SK6805-EC15,SK6805-EC15,8.393750,-13.680422,90.000000,top
D15,SK6805-EC15,SK6805-EC15,12.793473,-13.750000,0.000000,top
D16,SK6805-EC15,SK6805-EC15,14.261072,-11.419873,0.000000,top
D17,SK6805-EC15,SK6805-EC15,17.530536,-12.002405,-90.000000,top
D18,SK6805-EC15,SK6805-EC15,15.800000,-14.750000,-90.000000,top
D19,SK6805-EC15,SK6805-EC15,14.069464,-17.497595,-90.000000,top
D20,SK6805-EC15,SK6805-EC15,17.338928,-18.080127,0.000000,top
D21,SK6805-EC15,SK6805-EC15,18.806527,-15.750000,0.000000,top
R1,470R,R_0402_1005Metric,7.360000,-10.178000,180.000000,top
